
Corinthians,Internacional,5,4,2021-06-16 13:17:34
Cuiabá,Bragantino,2,3,2021-10-25 11:21:39
Fluminense,Chapecoense,6,6,2021-12-08 16:32:29
Bahia,Grêmio,4,6,2021-03-28 11:05:56
América-MG,Palmeiras,2,4,2021-09-25 16:37:59
Fluminense,Bahia,6,0,2021-03-20 04:19:03
Corinthians,Athletico-PR,5,2,2021-11-07 05:11:41
Corinthians,Grêmio,0,5,2021-09-28 07:56:27
Cuiabá,Fortaleza,1,2,2022-01-07 12:05:58
Ceará,Athletico-PR,3,5,2021-07-28 21:00:53
Corinthians,Bahia,4,4,2021-02-25 09:48:58
Cuiabá,Juventude,2,1,2021-05-12 17:26:36
Internacional,Corinthians,3,3,2021-04-24 10:11:36
Atlético-GO,Athletico-PR,3,7,2021-07-04 13:16:39
Flamengo,Palmeiras,1,1,2021-04-18 22:44:51
Chapecoense,Bahia,5,6,2021-08-18 13:01:12
Cuiabá,Chapecoense,4,3,2022-01-18 16:43:56
Grêmio,Chapecoense,1,3,2021-04-29 18:17:38
Fluminense,Athletico-PR,4,6,2021-11-06 12:37:07
Athletico-PR,Grêmio,2,6,2021-03-07 14:26:30
América-MG,Palmeiras,0,2,2021-09-18 18:57:33
Grêmio,Grêmio,4,1,2021-07-15 04:01:43
Bahia,América-MG,4,2,2021-06-01 17:57:28
América-MG,Bragantino,7,2,2021-02-18 23:42:33
Sport,Ceará,5,4,2021-12-06 22:43:48
Palmeiras,Cuiabá,3,1,2021-12-09 23:29:40
Palmeiras,Chapecoense,4,0,2021-09-07 06:09:44
Ceará,América-MG,2,4,2021-07-10 03:02:34
Santos,Atlético-GO,5,2,2021-12-08 01:17:38
Flamengo,Chapecoense,1,5,2021-08-23 20:14:35
Flamengo,Fluminense,7,3,2021-12-11 08:06:42
Flamengo,Corinthians,4,7,2021-06-20 13:24:55
Internacional,Juventude,2,2,2021-12-01 10:11:08
São Paulo,Grêmio,5,1,2021-09-13 08:39:08
Athletico-PR,São Paulo,3,1,2021-02-01 00:50:02
Santos,Fluminense,0,3,2021-03-12 06:50:44
Chapecoense,Fluminense,2,4,2021-09-03 12:18:46
Cuiabá,Bahia,5,6,2021-04-22 20:24:50
Bahia,Ceará,1,5,2021-07-30 10:45:42
Atlético-GO,Chapecoense,5,3,2021-11-22 17:56:35
Palmeiras,Grêmio,2,6,2021-09-13 16:11:35
Ceará,América-MG,0,2,2021-07-22 03:09:12
Cuiabá,Cuiabá,2,4,2021-07-14 11:20:50
Palmeiras,Atlético-GO,5,3,2021-03-24 02:48:11
Corinthians,Chapecoense,4,3,2021-11-01 04:16:46
Internacional,Fluminense,7,5,2021-03-30 10:18:05
Ceará,Atlético-GO,4,3,2021-05-14 13:08:42
Corinthians,Fortaleza,7,4,2021-12-30 15:38:41
São Paulo,Juventude,1,4,2021-02-01 04:44:16
